word,meaning,spelling,kanji
渇く,become thirsty/parched,kawaku,khát
嗅ぐ,smell,kagu,khứu
叩く,"spank, tap, knock, clap",tataku,khấu
殴る,punch,naguru,ẩu
ける,kick,keru,dung cach viet kana
抱く,"hold, hug",daku,bão
倒れる ＜自＞,"fall over, collapse",taoreru,đảo
倒す ＜他＞,"knock over, defeat",taosu,đảo
起きる/起こる＜自＞,"wake up, stay up, occur, arise",okiru/okoru,khởi
起こす＜他＞,"wake (someone) up, stand (somthing) up, cause",okosu,khởi
尋ねる,ask,tazuneru,tầm
呼ぶ,"call, summon, attract",yobu,hô
叫ぶ,yell,sakebu,khiếu
黙る,"be silent, do without permission",damaru,mặc
飼う,keep (a pet),kau,tự
数える,"count, number among",kazoeru,sổ
乾く＜自＞,dry,kawaku,kiền
乾かす＜他＞,dry,kawakasu,kiền
畳む,fold,tatamu,điệp
誘う,invite,sasou,dụ
おごる,treat to (something),ogoru,dùng cách viết kana
預かる,look after,azukaru,dự
預ける,"deposit, put in the care of",azukeru,dự
決まる＜自＞,"be decided, be set, be done perfectly",kimaru,quyết
決める＜他＞,"decide, always do, do perfectly",kimeru,quyết
写る＜自＞,"(camera) takes (photos), (photo) comes out",utsuru,tả
写す＜他＞,"take (photos), capture (on film), copy",utsusu,tả
思い出す,"remember, recall",omoidasu,tư xuất
教わる,learn,osowaru,giáo
申し込む,apply,moushikomu,thân vu
断る,"decline, seek permission",kotowaru,đoạn
見つかる＜自＞,"be found, be caught(doing something)",mitsukaru,kiến
見つける＜他＞,find,mitsukeru,kiến
捕まる＜自＞,"be arrested, caught, hold on to",tsukamaru,bộ
捕まえる＜他＞,"arrest, catch",tsukamaeru,bộ
乗る＜自＞,ride,noru,thừa
乗せる＜他＞,"give a ride, take on",noseru,bộ
下りる/降りる＜自＞,"get off, go down, be shut, receive(approval,etc,)",oriru,hạ/giáng
下ろす/降ろす＜他＞,"drop (someone) off, take down, lower, withdraw",orosu,hạ/giáng
直る＜自＞,"be fixed, improve",naoru,trực
直す＜他＞,"fix, correct, translate",naosu,trực
治る＜自＞,get better,naoru,trì
治す＜他＞,"cure, recover",naosu,trì
亡くなる＜自＞,die,nakunaru,vong
亡くす＜他＞,lose (someone),nakusu,vong
生まれる＜自＞,"be born, be created",umareru,sanh
産む＜他＞,"give birth, create",umu,sản
出会う,meet (by chance),deau,xuất hợp
訪ねる,visit,tazuneru,phóng
付き合う,"associate with, keep company with, date",tsukiau,phó hợp
